Reaction; dE; dG; LUMO(S); LUMO(T); Ring Deviation (S); Ring Deviation (T); Angle C-N-N (S); Angle C-N-N (T); Dist C-N (S); Dist C-N (T); Dist N-N (S); Dist N-N (T);
"Ph-N2+(S) = Ph-N2+(T)"; 247.33; 228.67; -0.300120; -0.406100; 0.0000; 0.0153; 180; 126; 1.3832; 1.4093; 1.1138; 1.1914;
"4-NO2-Ph-N2+(S) = 4-NO2-Ph-N2+(T)"; 186.81; 178.10; -0.324090; -0.363560; 0.0001; 0.0000; 180; 180; 1.3887; 1.3651; 1.1126; 1.1220;
"4-CH3O-Ph-N2+(S) = 4-CH3O-Ph-N2+(T)"; 189.93; 176.94; -0.274560; -0.368430; 0.0003; 0.0204; 180; 123; 1.3636; 1.4355; 1.1193; 1.1912;
"Pyrrole-2-N2+(S) = Pyrrole-2-N2+(T)"; 168.26; 156.73; -0.291020; -0.387900; 0.0015; 0.0001; 178; 122; 1.3369; 1.3955; 1.1243; 1.2021;
"Pyrrole-3-N2+(S) = Pyrrole-3-N2+(T)"; 204.76; 190.35; -0.282580; -0.388090; 0.0006; 0.0002; 178; 122; 1.3494; 1.4209; 1.1179; 1.1929;
"Pyrazole-3-N2+(S) = Pyrazole-3-N2+(T)"; 255.75; 241.26; -0.308180; -0.422460; 0.0003; 0.0167; 179; 124; 1.3684; 1.3913; 1.1129; 1.1991;
"Pyrazole-4-N2+(S) = Pyrazole-4-N2+(T)"; 249.59; 233.61; -0.300790; -0.421350; 0.0010; 0.0001; 178; 121; 1.3493; 1.3881; 1.1171; 1.2077;
"Pyrazole-5-N2+(S) = Pyrazole-5-N2+(T)"; 209.48; 193.66; -0.320440; -0.426750; 0.0010; 0.0001; 180; 121; 1.3486; 1.3944; 1.1191; 1.2049;
"1,3,5-(CH3)3-Pyrazole-4-N2+(S) = 1,3,5-(CH3)3-Pyrazole-4-N2+(T)"; 225.32; 208.78; -0.269760; -0.375320; 0.0001; 0.0034; 178; 124; 1.3370; 1.4357; 1.1219; 1.1864;
"C13H18N6-N2+(S) = C13H18N6-N2+(T)"; 0.00; 0.00; 0.000000; 0.000000; 0.0000; 0.0000; 0; 0; 0.0000; 0.0000; 0.0000; 0.0000;
"C13H18N4-N2+(S) = C13H18N4-N2+(T)"; 0.00; 0.00; 0.000000; 0.000000; 0.0000; 0.0000; 0; 0; 0.0000; 0.0000; 0.0000; 0.0000;
"Imidazole-2-N2+(S) = Imidazole-2-N2+(T)"; 173.76; 161.43; -0.312960; -0.406660; 0.0019; 0.0002; 178; 121; 1.3516; 1.3975; 1.1200; 1.2034;
"Imidazole-4-N2+(S) = Imidazole-4-N2+(T)"; 220.81; 206.47; -0.299360; -0.407200; 0.0003; 0.0119; 179; 121; 1.3619; 1.4083; 1.1151; 1.1963;
"Imidazole-5-N2+(S) = Imidazole-5-N2+(T)"; 185.56; 172.73; -0.308350; -0.408500; 0.0003; 0.0003; 177; 121; 1.3387; 1.3947; 1.1225; 1.2038;
"1H-1,2,3-Triazole-4-N2+(S) = 1H-1,2,3-Triazole-4-N2+(T)"; 256.99; 239.10; -0.321380; -0.439210; 0.0013; 0.0002; 177; 121; 1.3588; 1.3841; 1.1143; 1.2080;
"1H-1,2,3-Triazole-5-N2+(S) = 1H-1,2,3-Triazole-5-N2+(T)"; 223.58; 203.37; -0.340350; -0.440580; 0.0013; 0.0590; 178; 126; 1.3472; 1.3931; 1.1186; 1.1941;
"1H-1,2,4-Triazole-3-N2+(S) = 1H-1,2,4-Triazole-3-N2+(T)"; 262.64; 248.17; -0.328560; -0.440390; 0.0004; 0.0200; 179; 126; 1.3825; 1.3858; 1.1101; 1.1955;
"1H-1,2,4-Triazole-5-N2+(S) = 1H-1,2,4-Triazole-5-N2+(T)"; 217.05; 201.80; -0.344420; -0.446480; 0.0003; 0.0000; 179; 121; 1.3654; 1.3926; 1.1151; 1.2063;
"2H-1,2,3-Triazole-4-N2+(S) = 2H-1,2,3-Triazole-4-N2+(T)"; 330.77; 314.00; -0.327940; -0.429380; 0.0011; 0.4585; 178; 178; 1.3651; 1.3256; 1.1130; 1.1393;
"4H-1,2,4-Triazole-3-N2+(S) = 4H-1,2,4-Triazole-3-N2+(T)"; 212.44; 198.14; -0.337800; -0.439450; 0.0021; 0.0399; 175; 121; 1.3551; 1.3841; 1.1173; 1.2062;
"Tetrazole-5-N2+(S) = Tetrazole-5-N2+(T)"; 251.40; 232.09; -0.368930; -0.473020; 0.0010; 0.0003; 177; 121; 1.3642; 1.3767; 1.1139; 1.2129;
"Furan-2-N2+(S) = Furan-2-N2+(T)"; 184.79; 172.42; -0.312500; -0.409290; 0.0002; 0.0010; 179; 123; 1.3428; 1.3808; 1.1209; 1.2070;
"Furan-3-N2+(S) = Furan-3-N2+(T)"; 210.50; 196.49; -0.308260; -0.410160; 0.0004; 0.0201; 179; 124; 1.3556; 1.4155; 1.1157; 1.1903;
"Thiophene-2-N2+(S) = Thiophene-2-N2+(T)"; 199.11; 186.17; -0.304400; -0.400140; 0.0003; 0.0000; 179; 123; 1.3457; 1.3917; 1.1204; 1.2005;
"Thiophene-3-N2+(S) = Thiophene-3-N2+(T)"; 219.71; 205.43; -0.300420; -0.402750; 0.0004; 0.0262; 179; 124; 1.3654; 1.4221; 1.1162; 1.1905;
