Reaction; dE; dG; LUMO(Ar+); LUMO(Ar-N2+); Ring Deviation Ar+; Ring Deviation (Ar-N2+); Angle C-N-N; Dist C-N; Dist N-N;
"1,2,3-Triazine-5+(T) + N2 = 1,2,3-Triazine-5-N2+(S)"; -155.51; -94.75; -0.439120; -0.360700; 0.0001; 0.0002; 180; 1.3883; 1.1125;
"1,2,4-Triazine-3+(S) + N2 = 1,2,4-Triazine-3-N2+(S)"; -74.18; -19.36; -0.368740; -0.342270; 0.0001; 0.0006; 178; 1.4584; 1.1051;
"1,2,4-Triazine-3+(T) + N2 = 1,2,4-Triazine-3-N2+(S)"; -132.43; -78.42; -0.414170; -0.342270; 0.0009; 0.0006; 178; 1.4584; 1.1051;
"1,2,4-Triazine-5+(S) + N2 = 1,2,4-Triazine-5-N2+(S)"; 15.25; 64.31; -0.369260; -0.355380; 0.0003; 0.0010; 176; 1.4461; 1.1075;
"1,2,4-Triazine-5+(T) + N2 = 1,2,4-Triazine-5-N2+(S)"; -136.61; -83.51; -0.440980; -0.355380; 0.0012; 0.0010; 176; 1.4461; 1.1075;
"1,2,4-Triazine-6+(S) + N2 = 1,2,4-Triazine-6-N2+(S)"; -62.76; -9.77; -0.389840; -0.348200; 0.0015; 0.0003; 180; 1.4036; 1.1102;
"1,2,4-Triazine-6+(T) + N2 = 1,2,4-Triazine-6-N2+(S)"; -128.97; -73.90; -0.420710; -0.348200; 0.0016; 0.0003; 180; 1.4036; 1.1102;
"1,3,5-Triazine-2+(S) + N2 = 1,3,5-Triazine-2-N2+(S)"; -35.85; 15.91; -0.365090; -0.342070; 0.0001; 0.0005; 180; 1.5140; 1.1031;
"1,3,5-Triazine-2+(T) + N2 = 1,3,5-Triazine-2-N2+(S)"; -196.47; -140.56; -0.440040; -0.342070; 0.0003; 0.0005; 180; 1.5140; 1.1031;
"N-O-Pyridine-2+(S) + N2 = N-O-Pyridine-2-N2+(S)"; -215.96; -154.44; -0.387160; -0.317800; 0.4951; 0.0003; 179; 1.3630; 1.1160;
"N-O-Pyridine-2+(T) + N2 = N-O-Pyridine-2-N2+(S)"; -124.11; -65.02; -0.385440; -0.317800; 0.0012; 0.0003; 179; 1.3630; 1.1160;
"N-O-Pyridine-3+(S) + N2 = N-O-Pyridine-3-N2+(S)"; -142.18; -81.23; -0.377790; -0.322550; 0.2439; 0.0017; 180; 1.3877; 1.1126;
"N-O-Pyridine-3+(T) + N2 = N-O-Pyridine-3-N2+(S)"; -92.34; -34.08; -0.388810; -0.322550; 0.0009; 0.0017; 180; 1.3877; 1.1126;
"N-O-Pyridine-4+(S) + N2 = N-O-Pyridine-4-N2+(S)"; -201.93; -139.29; -0.382040; -0.311690; 0.4161; 0.0001; 180; 1.3635; 1.1193;
"N-O-Pyridine-4+(T) + N2 = N-O-Pyridine-4-N2+(S)"; -123.27; -63.77; -0.381640; -0.311690; 0.0000; 0.0001; 180; 1.3635; 1.1193;
"Ph+(S) + N2 = Ph-N2+(S)"; -146.51; -82.64; -0.353450; -0.300120; 0.0000; 0.0000; 180; 1.3832; 1.1138;
"Ph+(T) + N2 = Ph-N2+(S)"; -226.20; -162.01; -0.410940; -0.300120; 0.0000; 0.0000; 180; 1.3832; 1.1138;
"4-NO2-Ph+(S) + N2 = 4-NO2-Ph-N2+(S)"; -158.28; -95.37; -0.375810; -0.324090; 0.0002; 0.0001; 180; 1.3887; 1.1126;
"4-NO2-Ph+(T) + N2 = 4-NO2-Ph-N2+(S)"; -226.48; -159.35; -0.422680; -0.324090; 0.0037; 0.0001; 180; 1.3887; 1.1126;
"4-CH3O-Ph+(S) + N2 = 4-CH3O-Ph-N2+(S)"; -180.96; -115.57; -0.341610; -0.274560; 0.2471; 0.0003; 180; 1.3636; 1.1193;
"4-CH3O-Ph+(T) + N2 = 4-CH3O-Ph-N2+(S)"; -165.01; -104.32; -0.361220; -0.274560; 0.0000; 0.0003; 180; 1.3636; 1.1193;
"Pyrrole-2+(S) + N2 = Pyrrole-2-N2+(S)"; -223.46; -162.43; -0.376060; -0.291020; 0.5921; 0.0015; 178; 1.3369; 1.1243;
"Pyrrole-2+(T) + N2 = Pyrrole-2-N2+(S)"; -164.23; -103.72; -0.377920; -0.291020; 0.0002; 0.0015; 178; 1.3369; 1.1243;
"Pyrrole-3+(S) + N2 = Pyrrole-3-N2+(S)"; -254.26; -194.22; -0.368370; -0.282580; 0.4555; 0.0006; 178; 1.3494; 1.1179;
"Pyrrole-3+(T) + N2 = Pyrrole-3-N2+(S)"; -198.93; -136.85; -0.382350; -0.282580; 0.0006; 0.0006; 178; 1.3494; 1.1179;
"Pyrazole-3+(S) + N2 = Pyrazole-3-N2+(S)"; -250.11; -186.62; -0.409800; -0.308180; 0.0012; 0.0003; 179; 1.3684; 1.1129;
"Pyrazole-3+(T) + N2 = Pyrazole-3-N2+(S)"; -258.28; -194.97; -0.429440; -0.308180; 0.0017; 0.0003; 179; 1.3684; 1.1129;
"Pyrazole-4+(S) + N2 = Pyrazole-4-N2+(S)"; -268.87; -208.11; -0.397020; -0.300790; 0.0041; 0.0010; 178; 1.3493; 1.1171;
"Pyrazole-4+(T) + N2 = Pyrazole-4-N2+(S)"; -246.44; -184.73; -0.419130; -0.300790; 0.0002; 0.0010; 178; 1.3493; 1.1171;
"Pyrazole-5+(S) + N2 = Pyrazole-5-N2+(S)"; -253.80; -191.53; -0.410820; -0.320440; 0.4261; 0.0010; 180; 1.3486; 1.1191;
"Pyrazole-5+(T) + N2 = Pyrazole-5-N2+(S)"; -202.39; -137.36; -0.424260; -0.320440; 0.0005; 0.0010; 180; 1.3486; 1.1191;
"1,3,5-(CH3)3-Pyrazole-4+(S) + N2 = 1,3,5-(CH3)3-Pyrazole-4-N2+(S)"; -236.83; -176.05; -0.342360; -0.269760; 0.2741; 0.0001; 178; 1.3370; 1.1219;
"1,3,5-(CH3)3-Pyrazole-4+(T) + N2 = 1,3,5-(CH3)3-Pyrazole-4-N2+(S)"; -204.97; -144.06; -0.361090; -0.269760; 0.0001; 0.0001; 178; 1.3370; 1.1219;
"C13H18N6+(S) + N2 = C13H18N6-N2+(S)"; 0.00; 0.00; 0.000000; 0.000000; 0.0000; 0.0000; 0; 0.0000; 0.0000;
"C13H18N6+(T) + N2 = C13H18N6-N2+(S)"; 0.00; 0.00; 0.000000; 0.000000; 0.0000; 0.0000; 0; 0.0000; 0.0000;
"C13H18N4+(S) + N2 = C13H18N4-N2+(S)"; 0.00; 0.00; 0.000000; 0.000000; 0.0000; 0.0000; 0; 0.0000; 0.0000;
"C13H18N4+(T) + N2 = C13H18N4-N2+(S)"; 0.00; 0.00; 0.000000; 0.000000; 0.0000; 0.0000; 0; 0.0000; 0.0000;
"Imidazole-2+(S) + N2 = Imidazole-2-N2+(S)"; -217.32; -156.79; -0.402920; -0.312960; 0.5496; 0.0019; 178; 1.3516; 1.1200;
"Imidazole-2+(T) + N2 = Imidazole-2-N2+(S)"; -167.17; -107.33; -0.406700; -0.312960; 0.0003; 0.0019; 178; 1.3516; 1.1200;
"Imidazole-4+(S) + N2 = Imidazole-4-N2+(S)"; -243.12; -183.65; -0.406090; -0.299360; 0.0023; 0.0003; 179; 1.3619; 1.1151;
"Imidazole-4+(T) + N2 = Imidazole-4-N2+(S)"; -203.90; -142.69; -0.403750; -0.299360; 0.0012; 0.0003; 179; 1.3619; 1.1151;
"Imidazole-5+(S) + N2 = Imidazole-5-N2+(S)"; -244.64; -182.75; -0.389650; -0.308350; 0.0298; 0.0003; 177; 1.3387; 1.1225;
"Imidazole-5+(T) + N2 = Imidazole-5-N2+(S)"; -179.01; -118.29; -0.403480; -0.308350; 0.0007; 0.0003; 177; 1.3387; 1.1225;
"1H-1,2,3-Triazole-4+(S) + N2 = 1H-1,2,3-Triazole-4-N2+(S)"; -275.37; -215.43; -0.429960; -0.321380; 0.0003; 0.0013; 177; 1.3588; 1.1143;
"1H-1,2,3-Triazole-4+(T) + N2 = 1H-1,2,3-Triazole-4-N2+(S)"; -256.57; -191.78; -0.443080; -0.321380; 0.0010; 0.0013; 177; 1.3588; 1.1143;
"1H-1,2,3-Triazole-5+(S) + N2 = 1H-1,2,3-Triazole-5-N2+(S)"; -265.78; -204.79; -0.431980; -0.340350; 0.0004; 0.0013; 178; 1.3472; 1.1186;
"1H-1,2,3-Triazole-5+(T) + N2 = 1H-1,2,3-Triazole-5-N2+(S)"; -77.73; 4.70; -0.401420; -0.340350; 0.0000; 0.0013; 178; 1.3472; 1.1186;
"1H-1,2,4-Triazole-3+(S) + N2 = 1H-1,2,4-Triazole-3-N2+(S)"; -254.35; -194.67; -0.425940; -0.328560; 0.0002; 0.0004; 179; 1.3825; 1.1101;
"1H-1,2,4-Triazole-3+(T) + N2 = 1H-1,2,4-Triazole-3-N2+(S)"; -267.82; -205.32; -0.451180; -0.328560; 0.0013; 0.0004; 179; 1.3825; 1.1101;
"1H-1,2,4-Triazole-5+(S) + N2 = 1H-1,2,4-Triazole-5-N2+(S)"; -249.79; -186.49; -0.440850; -0.344420; 0.2600; 0.0003; 179; 1.3654; 1.1151;
"1H-1,2,4-Triazole-5+(T) + N2 = 1H-1,2,4-Triazole-5-N2+(S)"; -213.99; -153.40; -0.450940; -0.344420; 0.0004; 0.0003; 179; 1.3654; 1.1151;
"2H-1,2,3-Triazole-4+(S) + N2 = 2H-1,2,3-Triazole-4-N2+(S)"; -280.14; -218.91; -0.434110; -0.327940; 0.0001; 0.0011; 178; 1.3651; 1.1130;
"2H-1,2,3-Triazole-4+(T) + N2 = 2H-1,2,3-Triazole-4-N2+(S)"; -281.59; -216.71; -0.461460; -0.327940; 0.0006; 0.0011; 178; 1.3651; 1.1130;
"4H-1,2,4-Triazole-3+(S) + N2 = 4H-1,2,4-Triazole-3-N2+(S)"; -227.98; -167.20; -0.415010; -0.337800; 0.0004; 0.0021; 175; 1.3551; 1.1173;
"4H-1,2,4-Triazole-3+(T) + N2 = 4H-1,2,4-Triazole-3-N2+(S)"; -217.42; -153.30; -0.445670; -0.337800; 0.0002; 0.0021; 175; 1.3551; 1.1173;
"Tetrazole-5+(S) + N2 = Tetrazole-5-N2+(S)"; 22.83; 85.87; -0.365710; -0.368930; 0.0000; 0.0010; 177; 1.3642; 1.1139;
"Tetrazole-5+(T) + N2 = Tetrazole-5-N2+(S)"; -259.18; -194.27; -0.475980; -0.368930; 0.0012; 0.0010; 177; 1.3642; 1.1139;
"Furan-2+(S) + N2 = Furan-2-N2+(S)"; -251.67; -190.57; -0.401650; -0.312500; 0.5993; 0.0002; 179; 1.3428; 1.1209;
"Furan-2+(T) + N2 = Furan-2-N2+(S)"; -184.15; -123.40; -0.405900; -0.312500; 0.0019; 0.0002; 179; 1.3428; 1.1209;
"Furan-3+(S) + N2 = Furan-3-N2+(S)"; -269.85; -209.84; -0.404520; -0.308260; 0.4382; 0.0004; 179; 1.3556; 1.1157;
"Furan-3+(T) + N2 = Furan-3-N2+(S)"; -201.39; -140.11; -0.410180; -0.308260; 0.0003; 0.0004; 179; 1.3556; 1.1157;
"Thiophene-2+(S) + N2 = Thiophene-2-N2+(S)"; -226.28; -165.76; -0.371020; -0.304400; 0.6611; 0.0003; 179; 1.3457; 1.1204;
"Thiophene-2+(T) + N2 = Thiophene-2-N2+(S)"; -189.03; -128.11; -0.395210; -0.304400; 0.0012; 0.0003; 179; 1.3457; 1.1204;
"Thiophene-3+(S) + N2 = Thiophene-3-N2+(S)"; -196.71; -134.52; -0.367640; -0.300420; 0.0000; 0.0004; 179; 1.3654; 1.1162;
"Thiophene-3+(T) + N2 = Thiophene-3-N2+(S)"; -201.88; -139.89; -0.401770; -0.300420; 0.0003; 0.0004; 179; 1.3654; 1.1162;
